student_id,minutes_watched,paid_in_q2
2887,4.0833,1
2925,15.3,1
2945,54.9167,1
2954,163.1167,1
2973,3.2833,1
2978,199.3667,1
2984,367.0167,1
2986,520.9667,1
3056,1.7833,1
3062,4.3833,1
3070,542.95,1
3080,77.4667,1
3115,21.0333,1
3146,0.35,1
3188,35.15,1
3195,354.3333,1
3219,163.95,1
3239,1957.1833,1
3256,360.45,1
3292,57.95,1
3338,209.25,1
3406,16.7333,1
3420,78.9167,1
3423,627.7833,1
3478,0.6,1
3481,30.5833,1
3511,7.4833,1
3524,58.7833,1
3577,329.9,1
3598,133.9,1
3631,6.7833,1
3652,20.8667,1
3780,141.0333,1
3799,177.0667,1
3817,1140.0333,1
3852,5.0,1
3856,248.5833,1
3916,61.5667,1
3943,163.8167,1
3982,0.05,1
3984,30.3333,1
3987,0.9,1
4011,54.9833,1
4019,57.5,1
4035,26.2833,1
4055,221.25,1
4059,163.5333,1
4078,0.9,1
4080,813.4833,1
4162,16.1667,1
4186,41.8167,1
4194,30.2333,1
4266,121.1,1
4320,33.7167,1
4337,10.4667,1
4371,63.5667,1
4376,41.0333,1
4384,0.0833,1
4404,185.35,1
4435,1.3667,1
4537,305.2833,1
4558,163.4167,1
4595,809.45,1
4629,234.4833,1
4640,292.9833,1
4698,18.3333,1
4723,596.7333,1
4739,2504.5167,1
4778,36.95,1
4784,296.6,1
4795,12.8167,1
4829,137.6833,1
4872,242.5167,1
4874,2412.55,1
4884,33.2667,1
5010,617.9333,1
5018,31.5,1
5064,419.6667,1
5076,5.5833,1
5080,551.5,1
5109,3.7167,1
5111,34.85,1
5143,43.4,1
5212,195.2667,1
5321,1966.65,1
5323,167.8833,1
5340,224.7,1
5389,46.5,1
5427,12.9333,1
5515,6.9833,1
5579,2.0833,1
5774,249.2167,1
5836,643.5333,1
5884,99.2833,1
6011,13.85,1
6053,986.1333,1
6070,5.7833,1
6096,21.1,1
6159,253.15,1
6164,184.8333,1
6278,1206.45,1
6408,267.65,1
6505,44.0333,1
6559,461.3167,1
6560,0.4667,1
6589,176.0167,1
6618,123.2167,1
6787,315.15,1
6819,28.1333,1
6862,224.5167,1
6885,509.8,1
6890,62.3,1
6899,13.85,1
6950,879.05,1
6971,44.85,1
7008,1.3833,1
7013,5.8833,1
7037,2.2,1
7069,17.9,1
7086,250.0,1
7163,537.5333,1
7178,20.25,1
7179,4.7667,1
7224,78.6333,1
7244,19.2167,1
