student_id,minutes_watched,paid_in_q2
2650,30.2000,1
2651,57.9167,1
2653,669.4000,1
2655,162.0000,1
2657,28.1667,1
2661,5.1833,1
2663,101.9167,1
2671,10.3833,1
2685,8.1167,1
2688,413.1667,1
2692,94.7500,1
2698,42.1667,1
2706,918.1833,1
2708,0.1667,1
2710,17.1500,1
2719,49.2000,1
2723,114.7833,1
2725,26.9000,1
2726,6.5833,1
2731,39.8333,1
2738,0.2833,1
2741,2.2500,1
2743,11.2333,1
2750,14.9833,1
2754,901.2833,1
2761,0.3000,1
2764,36.5500,1
2772,1272.7833,1
2774,557.9500,1
2793,79.2833,1
2797,39.5833,1
2803,182.3833,1
2805,248.6167,1
2811,2617.2333,1
2813,17.3500,1
2815,310.5667,1
2819,27.0500,1
2820,0.3167,1
2821,351.2500,1
2824,21.9667,1
2825,1.1667,1
2826,12.2167,1
2827,1653.5667,1
2830,1254.1000,1
2831,40.1833,1
2833,2.6333,1
2839,290.9667,1
2840,1.1167,1
2843,19.6333,1
2851,502.0833,1
2859,798.5000,1
2866,1630.5833,1
2877,518.5167,1
2887,566.5000,1
2894,0.7500,1
2899,2030.1000,1
2911,4.0500,1
2917,1045.4000,1
2918,601.2167,1
2920,11.4000,1
2922,433.3167,1
2928,2.0333,1
2929,639.0333,1
2930,265.8000,1
2933,45.9500,1
2938,1331.2000,1
2943,285.5167,1
2950,0.1333,1
2954,316.0000,1
2967,0.4333,1
2973,68.6833,1
2978,35.2333,1
3002,1377.8833,1
3011,586.3833,1
3016,24.1667,1
3017,166.6167,1
3022,507.8500,1
3031,136.7833,1
3034,2.1833,1
3048,20.7833,1
3050,27.8833,1
3062,37.8500,1
3070,863.6333,1
3074,25.3000,1
3080,171.5000,1
3082,26.2500,1
3090,41.8000,1
3092,609.1000,1
3099,83.8833,1
3112,22.4167,1
3115,51.7167,1
3130,0.2333,1
3138,26.5833,1
3146,0.1833,1
3147,23.5833,1
3148,21.2667,1
3161,114.7833,1
3162,403.9667,1
3187,76.8667,1
3188,609.0500,1
3199,15.8833,1
3213,525.1167,1
3215,177.3167,1
3219,150.4000,1
3221,93.6333,1
3239,378.4000,1
3248,34.2333,1
3266,5.9500,1
3286,3.9833,1
3288,186.9833,1
3291,1379.4667,1
3297,64.6000,1
3303,443.2167,1
3305,308.4000,1
3316,0.1000,1
3338,795.3333,1
3359,279.3167,1
3367,101.9333,1
3379,0.3500,1
3381,54.9500,1
3393,10.1667,1
3402,13.2333,1
3414,0.2333,1
3416,0.1500,1
3419,1.2667,1
3420,469.5667,1
3423,454.3500,1
3426,17.5000,1
3430,1346.0000,1
3441,45.7000,1
3447,10.1000,1
3453,295.8167,1
3466,251.7000,1
3467,17.2333,1
3468,672.3000,1
3470,20.2333,1
3471,234.4000,1
3473,35.8000,1
3478,824.1667,1
3481,2.9667,1
3494,272.0667,1
3498,1724.8333,1
3512,383.1167,1
3513,238.7833,1
3524,174.6333,1
3538,1083.8500,1
3550,167.3167,1
3558,155.6833,1
3575,253.7833,1
3589,0.2833,1
3598,33.5167,1
3611,67.8500,1
3613,1191.2167,1
3626,824.0500,1
3641,192.5500,1
3647,603.6833,1
3659,5.3667,1
3661,31.2667,1
3663,903.4333,1
3675,3.8833,1
3679,19.5500,1
3681,136.9000,1
3685,4.7500,1
3687,779.3833,1
3688,170.4000,1
3691,86.6833,1
3698,1650.9333,1
3700,131.0333,1
3702,73.3833,1
3704,21.8333,1
3707,662.2667,1
3708,1.3333,1
3709,1440.3500,1
3712,47.8500,1
3728,893.7500,1
3750,51.8167,1
3758,153.9667,1
3774,1069.7667,1
3779,592.3000,1
3780,125.6500,1
3781,1600.7167,1
3785,362.2333,1
3787,216.3333,1
3797,306.8167,1
3799,115.1167,1
3809,7.3167,1
3814,164.1167,1
3815,210.9500,1
3817,30.7833,1
3824,8.6667,1
3832,258.3000,1
3840,0.4167,1
3850,405.5833,1
3852,1007.1167,1
3856,963.3667,1
3857,2.5000,1
3860,266.4500,1
3864,469.2333,1
3865,227.7000,1
3874,2.0333,1
3875,517.6333,1
3897,0.1167,1
3908,13.3167,1
3913,0.2000,1
3914,8.5833,1
3920,0.0667,1
3927,1393.0667,1
3931,1.9833,1
3934,98.7167,1
3938,50.3833,1
3943,83.5667,1
3949,214.0667,1
3965,9.5833,1
3969,56.2000,1
3977,109.3167,1
3980,12.1500,1
3983,18.6167,1
3984,697.1333,1
3985,0.3667,1
3987,103.3667,1
4001,181.1500,1
4003,0.0500,1
4013,1200.6167,1
4019,415.3000,1
4034,1226.8167,1
4040,740.5833,1
4043,548.0167,1
4050,2023.5500,1
4053,49.5333,1
4054,99.5833,1
4055,8.8333,1
4062,89.4333,1
4104,251.6167,1
4112,4.9500,1
4132,502.3667,1
